cell,model,selection,n,n_raw_features,prevalence,AP_mean,AP_std,AUC_mean,AUC_std,elapsed_sec,cohort,rung,outcome
cohort_d|+ Gait Bout|ad_adnc,LR-l2,Block PCA,187,446,0.6417112299465241,0.6948050821430306,0.06621141088401723,0.5362179487179487,0.087088554042024,9.0,cohort_d,+ Gait Bout,ad_adnc
cohort_d|+ Gait Bout|ad_adnc,LR-l1,Block PCA,187,446,0.6417112299465241,0.6936206393168357,0.08975864202236597,0.5283272283272283,0.1291354227933027,21.6,cohort_d,+ Gait Bout,ad_adnc
cohort_d|+ Gait Bout|ad_adnc,LR-elasticnet,Block PCA,187,446,0.6417112299465241,0.7055677554807845,0.09024425569671,0.5534188034188035,0.11971850232277415,23.3,cohort_d,+ Gait Bout,ad_adnc
cohort_d|+ Gait Bout|ad_adnc,SVC-RBF,Block PCA,187,446,0.6417112299465241,0.6452714570485144,0.0642085946267647,0.49638278388278384,0.11272236634886584,10.6,cohort_d,+ Gait Bout,ad_adnc
cohort_d|+ Gait Bout|ad_adnc,RF,Block PCA,187,446,0.6417112299465241,0.62798657599612,0.045819019128264436,0.46440018315018317,0.0792845764639121,56.9,cohort_d,+ Gait Bout,ad_adnc
cohort_d|+ Gait Bout|ad_adnc,HistGB,Block PCA,187,446,0.6417112299465241,0.6624959385551292,0.05344851966980388,0.5002594627594629,0.06679317868185186,16.9,cohort_d,+ Gait Bout,ad_adnc
cohort_d|+ Gait Bout|lb_7reg,LR-l2,Block PCA,187,446,0.21390374331550802,0.30008855384832356,0.09616016615562319,0.5408812260536399,0.11223950412997039,8.5,cohort_d,+ Gait Bout,lb_7reg
cohort_d|+ Gait Bout|lb_7reg,LR-l1,Block PCA,187,446,0.21390374331550802,0.317190763297217,0.0841256681399635,0.5671551724137931,0.10728864049993012,22.6,cohort_d,+ Gait Bout,lb_7reg
cohort_d|+ Gait Bout|lb_7reg,LR-elasticnet,Block PCA,187,446,0.21390374331550802,0.3111927794881141,0.10270795531483158,0.5465421455938697,0.10816321829851595,24.8,cohort_d,+ Gait Bout,lb_7reg
cohort_d|+ Gait Bout|lb_7reg,SVC-RBF,Block PCA,187,446,0.21390374331550802,0.31293906467426474,0.0880128921173202,0.5635057471264368,0.10354807074511767,10.4,cohort_d,+ Gait Bout,lb_7reg
cohort_d|+ Gait Bout|lb_7reg,RF,Block PCA,187,446,0.21390374331550802,0.2933423323583609,0.08045788364632377,0.5267049808429118,0.09995136077465779,56.4,cohort_d,+ Gait Bout,lb_7reg
cohort_d|+ Gait Bout|lb_7reg,HistGB,Block PCA,187,446,0.21390374331550802,0.27383029451201857,0.0715731163924029,0.49047892720306513,0.08257585226567131,16.6,cohort_d,+ Gait Bout,lb_7reg
cohort_d|+ Gait Bout|tdp_st4_bin,LR-l2,Block PCA,187,446,0.5401069518716578,0.6657907360522416,0.0795298100895279,0.5855166511048863,0.08880351263701873,9.5,cohort_d,+ Gait Bout,tdp_st4_bin
cohort_d|+ Gait Bout|tdp_st4_bin,LR-l1,Block PCA,187,446,0.5401069518716578,0.6722335444430899,0.07800334932453072,0.5995689386865857,0.0792215931047954,24.5,cohort_d,+ Gait Bout,tdp_st4_bin
cohort_d|+ Gait Bout|tdp_st4_bin,LR-elasticnet,Block PCA,187,446,0.5401069518716578,0.6699524657631155,0.06963371154733657,0.5985652038593214,0.07327711118021384,26.3,cohort_d,+ Gait Bout,tdp_st4_bin
cohort_d|+ Gait Bout|tdp_st4_bin,SVC-RBF,Block PCA,187,446,0.5401069518716578,0.5998039912558848,0.05852776038473428,0.5323467164643635,0.047164380489044845,10.5,cohort_d,+ Gait Bout,tdp_st4_bin
cohort_d|+ Gait Bout|tdp_st4_bin,RF,Block PCA,187,446,0.5401069518716578,0.6676372471835899,0.07997909099261502,0.6019125427948957,0.08606619801668311,57.1,cohort_d,+ Gait Bout,tdp_st4_bin
cohort_d|+ Gait Bout|tdp_st4_bin,HistGB,Block PCA,187,446,0.5401069518716578,0.6851356432394565,0.07391526703393328,0.6388686585745409,0.08639481283071966,16.9,cohort_d,+ Gait Bout,tdp_st4_bin
cohort_d|+ Gait Bout|arteriol_scler_bin,LR-l2,Block PCA,186,446,0.3602150537634409,0.45521319579912894,0.09244976468143637,0.5441511387163561,0.10703572164544954,9.6,cohort_d,+ Gait Bout,arteriol_scler_bin
cohort_d|+ Gait Bout|arteriol_scler_bin,LR-l1,Block PCA,186,446,0.3602150537634409,0.4519548709861472,0.08098732628855956,0.5472985347985347,0.09814620889338803,24.5,cohort_d,+ Gait Bout,arteriol_scler_bin
cohort_d|+ Gait Bout|arteriol_scler_bin,LR-elasticnet,Block PCA,186,446,0.3602150537634409,0.4587983675632502,0.07968418404714657,0.5391729043902956,0.09204393738344768,26.5,cohort_d,+ Gait Bout,arteriol_scler_bin
cohort_d|+ Gait Bout|arteriol_scler_bin,SVC-RBF,Block PCA,186,446,0.3602150537634409,0.5256120206516156,0.1011235410915448,0.603695519456389,0.09307974658978832,10.5,cohort_d,+ Gait Bout,arteriol_scler_bin
cohort_d|+ Gait Bout|arteriol_scler_bin,RF,Block PCA,186,446,0.3602150537634409,0.4441430782576783,0.09346859550639817,0.5494349551414768,0.09236307670173856,57.7,cohort_d,+ Gait Bout,arteriol_scler_bin
cohort_d|+ Gait Bout|arteriol_scler_bin,HistGB,Block PCA,186,446,0.3602150537634409,0.43307040172831085,0.09983653754053518,0.5318488878271487,0.09118783224906123,16.5,cohort_d,+ Gait Bout,arteriol_scler_bin
cohort_d|+ Gait Bout|cvda_4gp2_bin,LR-l2,Block PCA,187,446,0.25668449197860965,0.3609035706538591,0.06592436095050141,0.5979717813051146,0.07442269102684719,8.5,cohort_d,+ Gait Bout,cvda_4gp2_bin
cohort_d|+ Gait Bout|cvda_4gp2_bin,LR-l1,Block PCA,187,446,0.25668449197860965,0.35820544414864847,0.07282518119088516,0.5680070546737213,0.07445097904848985,20.8,cohort_d,+ Gait Bout,cvda_4gp2_bin
cohort_d|+ Gait Bout|cvda_4gp2_bin,LR-elasticnet,Block PCA,187,446,0.25668449197860965,0.38345559910010313,0.07270824901890928,0.6206613756613757,0.07856351838756186,24.1,cohort_d,+ Gait Bout,cvda_4gp2_bin
cohort_d|+ Gait Bout|cvda_4gp2_bin,SVC-RBF,Block PCA,187,446,0.25668449197860965,0.3456902452799148,0.08829696860710544,0.5519488536155204,0.09704527403194714,10.5,cohort_d,+ Gait Bout,cvda_4gp2_bin
cohort_d|+ Gait Bout|cvda_4gp2_bin,RF,Block PCA,187,446,0.25668449197860965,0.3604125463668187,0.07692872107794599,0.580983245149912,0.0705931485892331,56.2,cohort_d,+ Gait Bout,cvda_4gp2_bin
cohort_d|+ Gait Bout|cvda_4gp2_bin,HistGB,Block PCA,187,446,0.25668449197860965,0.36492687808512786,0.0945177763858283,0.5552292768959435,0.06648439688616203,16.8,cohort_d,+ Gait Bout,cvda_4gp2_bin
